title,worldwide_gross,domestic_gross,foreign_gross,widest_opening,rating,budget,month,year,adjust,tickets_sold,gross_adj,season
Star Trek: First Contact (1996),146027888,92027888,5.40E+07,2812,PG-13,NA,November,1996,4.42,20820789.14,187595310.2,Fall
Space Jam (1996),230418342,90418342,1.40E+08,2650,PG,NA,November,1996,4.42,20456638.46,184314312.5,Fall
Ransom (1996),309492681,136492681,1.73E+08,2768,R,NA,November,1996,4.42,30880697.06,278235080.5,Fall
Romeo + Juliet (1996),147554998,46351345,101203653,1963,PG-13,NA,November,1996,4.42,10486729.64,94485434.04,Fall
Sleepers (1996),165615285,53315285,112300000,2080,R,NA,October,1996,4.42,12062281.67,108681157.9,Fall
The Ghost and the Darkness (1996),38619405,38619405,0,2202,R,NA,October,1996,4.42,8737421.946,78724171.73,Fall
The First Wives Club (1996),181489203,105489203,7.60E+07,2406,PG,NA,September,1996,4.42,23866335.52,215035683,Fall
Maximum Risk (1996),14502483,14502483,0,2358,R,NA,September,1996,4.42,3281104.751,29562753.81,Fall
Bulletproof (1996),22611954,21576954,1035000,2242,R,NA,September,1996,4.42,4881663.801,43983790.85,Fall
The Crow: City of Angels (1996),17917287,17917287,0,2423,R,NA,August,1996,4.42,4053684.842,36523700.42,Summer
Tin Cup (1996),53854588,53854588,0,2102,R,NA,August,1996,4.42,12184295.93,109780506.3,Summer
Jack (1996),58620973,58620973,0,2232,PG-13,4.50E+07,August,1996,4.42,13262663.57,119496598.8,Summer
A Time to Kill (1996),152266007,108766007,43500000,2313,R,NA,July,1996,4.42,24607693.89,221715322,Summer
Independence Day (1996),817400891,306169268,511231623,2977,PG-13,7.50E+07,July,1996,4.42,69269065.16,624114277.1,Summer
Eraser (1996),242295562,101295562,1.41E+08,2556,R,1.00E+08,June,1996,4.42,22917547.96,206487107.2,Summer
The Cable Guy (1996),102825796,60240295,42585501,2657,PG-13,4.70E+07,June,1996,4.42,13629026.02,122797524.4,Summer
The Rock (1996),335062621,134069511,200993110,2426,R,7.50E+07,June,1996,4.42,30332468.55,273295541.7,Summer
Mission: Impossible (1996),457696359,180981856,276714503,3012,PG-13,8.00E+07,May,1996,4.42,40946121.27,368924552.6,Spring
Twister (1996),494471524,241721524,252750000,2808,PG-13,9.20E+07,May,1996,4.42,54688127.6,492740029.7,Spring
The Craft (1996),NA,NA,0,NA,R,NA,May,1996,4.42,NA,NA,Spring
The Quest (1996),57400547,21686547,35714000,2098,R,NA,April,1996,4.42,4906458.597,44207191.96,Spring
Primal Fear (1996),102616183,56116183,46500000,1983,R,NA,April,1996,4.42,12695969,114390680.7,Spring
The Birdcage (1996),185260553,124060553,61200000,2285,R,NA,March,1996,4.42,28067998.42,252892665.7,Spring
Up Close and Personal (1996),100688705,51088705,49600000,1639,PG-13,NA,March,1996,4.42,11558530.54,104142360.2,Spring
Rumble in the Bronx (1996),NA,NA,0,NA,R,7500000,February,1996,4.42,NA,NA,Winter
Broken Arrow (1996) (1996),150270147,70770147,79500000,2392,R,NA,February,1996,4.42,16011345.48,144262222.7,Winter
Black Sheep (1996),32417995,32417995,0,2092,PG-13,NA,February,1996,4.42,7334388.009,66082835.96,Winter
Mr. Holland's Opus (1995),106269971,82569971,23700000,NA,PG,NA,December,1995,4.35,18981602.53,171024238.8,Winter
From Dusk Till Dawn (1996),25836616,25836616,0,2007,R,1.90E+07,January,1996,4.42,5845388.235,52666948,Winter
12 Monkeys (1995),NA,NA,0,NA,R,NA,December,1995,4.35,NA,NA,Winter
Titanic (1997),NA,NA,0,NA,PG-13,2.00E+08,December,1997,4.59,NA,NA,Winter
Scream 2 (1997),172363301,101363301,7.10E+07,2688,R,2.40E+07,December,1997,4.59,22083507.84,198972405.7,Winter
Flubber (1997),177977226,92977226,8.50E+07,2679,PG,NA,November,1997,4.59,20256476.25,182510851,Fall
Mortal Kombat: Annihilation (1997),51376861,35927406,15449455,2140,PG-13,NA,November,1997,4.59,7827321.569,70524167.33,Fall
The Jackal (1997),159330280,54930280,104400000,2309,R,6.00E+07,November,1997,4.59,11967381.26,107826105.2,Fall
Starship Troopers (1997),NA,NA,0,NA,R,1.05E+08,November,1997,4.59,NA,NA,Fall
I Know What You Did Last Summer (1997),125586134,72586134,5.30E+07,2524,R,NA,October,1997,4.59,15813972.55,142483892.7,Fall
Kiss the Girls (1997),60527873,60527873,0,2406,R,2.70E+07,October,1997,4.59,13186900.44,118813972.9,Fall
The Peacemaker (1997),110463140,41263140,69200000,2420,R,5.00E+07,September,1997,4.59,8989790.85,80998015.56,Fall
In & Out (1997),63856929,63856929,0,2452,PG-13,3.50E+07,September,1997,4.59,13912184.97,125348786.6,Fall
The Game (1997),109423648,48323648,61100000,2521,R,NA,September,1997,4.59,10528027.89,94857531.26,Fall
Fire Down Below (1997),16228448,16228448,0,2350,R,NA,September,1997,4.59,3535609.586,31855842.37,Fall
G.I. Jane (1997),48169156,48169156,0,2043,R,NA,August,1997,4.59,10494369.5,94554269.19,Summer
Cop Land (1997),44862187,44862187,0,2233,R,1.50E+07,August,1997,4.59,9773896.95,88062811.52,Summer
Conspiracy Theory (1997),136982834,75982834,6.10E+07,2806,R,NA,August,1997,4.59,16553994.34,149151489,Summer
Air Force One (1997),315156409,172956409,142200000,2981,R,8.50E+07,July,1997,4.59,37681134.86,339507025.1,Summer
Men in Black (1997),589390539,250690539,338700000,3180,PG-13,9.00E+07,July,1997,4.59,54616675.16,492096243.2,Summer
Hercules (1997),252712101,99112101,153600000,NA,G,8.50E+07,June,1997,4.59,21593050.33,194553383.4,Summer
Batman and Robin (1997),238207122,107325195,130881927,2942,PG-13,1.25E+08,June,1997,4.59,23382395.42,210675382.8,Summer
Speed 2: Cruise Control (1997),164508066,48608066,115900000,2625,PG-13,1.60E+08,June,1997,4.59,10589992.59,95415833.26,Summer
Con Air (1997),224012234,101117573,122894661,2941,R,7.50E+07,June,1997,4.59,22029972.33,198490050.7,Summer
The Lost World: Jurassic Park (1997),618638999,229086679,389552320,3565,PG-13,7.30E+07,May,1997,4.59,49909951.85,449688666.2,Spring
The Fifth Element (1997),263920180,63820180,200100000,2500,PG-13,NA,May,1997,4.59,13904178.65,125276649.6,Spring
Breakdown (1997),50159144,50159144,0,2348,R,3.60E+07,May,1997,4.59,10927918.08,98460541.93,Spring
Volcano (1997),122823468,49323468,73500000,2777,PG-13,9.00E+07,April,1997,4.59,10745853.59,96820140.89,Spring
Anaconda (1997),136885767,65885767,7.10E+07,2456,PG-13,NA,April,1997,4.59,14354197.6,129331320.4,Spring
Liar Liar (1997),302710615,181410615,121300000,2909,PG-13,NA,March,1997,4.59,39523009.8,356102318.3,Spring
Return of the Jedi (Special Edition) (1997),353096720,309306177,43790543,2111,PG,NA,March,1997,4.59,67386966.67,607156569.7,Spring
Private Parts (1997),41230799,41230799,0,2217,R,2.80E+07,March,1997,4.59,8982744.88,80934531.37,Spring
The Empire Strikes Back (Special Edition) (1997),347689833,290475067,57214766,2322,PG,NA,February,1997,4.59,63284328.32,570191798.2,Winter
Star Wars (Special Edition) (1997),579646015,460998007,118648008,2375,PG,NA,January,1997,4.59,100435295.6,904922013.7,Winter
Evita (1996),141047179,50047179,9.10E+07,NA,PG,5.50E+07,December,1996,4.42,11322891.18,102019249.5,Winter
Beverly Hills Ninja (1997),31480418,31480418,0,2112,PG-13,NA,January,1997,4.59,6858478.867,61794894.59,Winter
The Relic (1997),33956608,33956608,0,2128,R,NA,January,1997,4.59,7397953.813,66655563.85,Winter
Patch Adams (1998),202292902,135026902,67266000,2909,PG-13,9.00E+07,December,1998,4.69,28790384.22,259401361.8,Winter
You've Got Mail (1998),250821495,115821495,1.35E+08,2948,PG,6.50E+07,December,1998,4.69,24695414.71,222505686.6,Winter
Star Trek: Insurrection (1998),112587658,70187658,42400000,2677,PG,5.80E+07,December,1998,4.69,14965385.5,134838123.4,Winter
A Bug's Life (1998),NA,NA,0,NA,G,1.20E+08,November,1998,4.69,NA,NA,Fall
The Rugrats Movie (1998),NA,NA,0,NA,G,2.40E+07,November,1998,4.69,NA,NA,Fall
The Waterboy (1998),185991646,161491646,24500000,2782,PG-13,2.30E+07,November,1998,4.69,34433186.78,310243012.9,Fall
John Carpenter's Vampires (1998),20308772,20308772,0,1793,R,2.00E+07,October,1998,4.69,4330228.571,39015359.43,Fall
Pleasantville (1998),49805462,40584421,9221041,1773,PG-13,6.00E+07,October,1998,4.69,8653394.67,77967085.97,Fall
Practical Magic (1998),46683377,46683377,0,2652,PG-13,7.50E+07,October,1998,4.69,9953811.727,89683843.66,Fall
Antz (1998),171757863,90757863,8.10E+07,2929,PG,1.05E+08,October,1998,4.69,19351356.72,174355724,Fall
Rush Hour (1998),244386864,141186864,103200000,2724,PG-13,3.30E+07,September,1998,4.69,30103808.96,271235318.7,Fall
Rounders (1998),22912409,22912409,0,2191,R,NA,September,1998,4.69,4885375.053,44017229.23,Fall
There's Something About Mary (1998),369884651,176484651,193400000,2555,R,2.30E+07,July,1998,4.69,37629989.55,339046205.9,Summer
Blade (1998),131183530,70087718,61095812,2389,R,NA,August,1998,4.69,14944076.33,134646127.8,Summer
Saving Private Ryan (1998),481840909,216540909,265300000,2807,R,7.00E+07,July,1998,4.69,46170769.51,415998633.3,Summer
The Mask of Zorro (1998),250288523,94095523,156193000,2515,PG-13,9.50E+07,July,1998,4.69,20063011.3,180767731.8,Summer
Lethal Weapon 4 (1998),285444603,130444603,1.55E+08,3117,R,1.40E+08,July,1998,4.69,27813348.19,250598267.2,Summer
Armageddon (1998),553709788,201578182,352131606,3184,PG-13,1.40E+08,July,1998,4.69,42980422.6,387253607.6,Summer
Doctor Dolittle (1998),294456605,144156605,150300000,2871,PG-13,NA,June,1998,4.69,30737015.99,276940514.1,Summer
The X-Files (1998),189176423,83898313,105278110,2650,PG-13,NA,June,1998,4.69,17888766.1,161177782.5,Summer
The Truman Show (1998),264118201,125618201,138500000,2911,PG,NA,June,1998,4.69,26784264.61,241326224.1,Summer
Godzilla (1998),379014294,136314294,242700000,3310,PG-13,1.30E+08,May,1998,4.69,29064881.45,261874581.9,Spring
Deep Impact (1998),349464664,140464664,2.09E+08,3280,PG-13,NA,May,1998,4.69,29949821.75,269847894,Spring
He Got Game (1998),21567853,21567853,0,1414,R,NA,May,1998,4.69,4598689.339,41434190.94,Spring
The Big Hit (1998),27007143,27007143,0,2149,R,NA,April,1998,4.69,5758452.665,51883658.51,Spring
City of Angels (1998),198685114,78685114,1.20E+08,2433,PG-13,NA,April,1998,4.69,16777209.81,151162660.4,Spring
Lost in Space (1998),136159423,69117629,67041794,3306,PG-13,8.00E+07,April,1998,4.69,14737234.33,132782481.3,Spring
Stuart Little (1999),300135367,140035367,160100000,3151,PG,1.33E+08,December,1999,5.08,27566017.13,248369814.3,Winter
The Green Mile (1999),286801374,136801374,1.50E+08,2875,R,6.00E+07,December,1999,5.08,26929404.33,242633933,Winter
Toy Story 2 (1999),497366869,245852179,251514690,NA,G,9.00E+07,November,1999,5.08,48396098.23,436048845,Fall
The World Is Not Enough (1999),361832400,126943684,234888716,3163,PG-13,1.35E+08,November,1999,5.08,24988914.17,225150116.7,Fall
Pokemon: The First Movie (1999),163644662,85744662,77900000,3043,G,3.00E+07,November,1999,5.08,16878870.47,152078623,Fall
The Bone Collector (1999),151493655,66518655,84975000,2623,R,7.30E+07,November,1999,5.08,13094223.43,117978953.1,Fall
House on Haunted Hill (1999),40846082,40846082,0,NA,R,3.70E+07,October,1999,5.08,8040567.323,72445511.58,Fall
The Best Man (1999),NA,NA,0,NA,R,9.00E+06,October,1999,5.08,NA,NA,Fall
Fight Club (1999),NA,NA,0,NA,R,6.30E+07,October,1999,5.08,NA,NA,Fall
Double Jeopardy (1999),177841558,116741558,61100000,3002,R,7.00E+07,September,1999,5.08,22980621.65,207055401.1,Fall
Blue Streak (1999),117758500,68518533,49239967,2735,PG-13,6.50E+07,September,1999,5.08,13487900.2,121525980.8,Fall
Stigmata (1999),89446268,50046268,39400000,2901,R,2.90E+07,September,1999,5.08,9851627.559,88763164.31,Fall
The Sixth Sense (1999),672806292,293506292,379300000,2821,PG-13,4.00E+07,August,1999,5.08,57776829.13,520569230.5,Summer
Runaway Bride (1999),309457509,152257509,157200000,3240,PG,7.00E+07,July,1999,5.08,29971950.59,270047274.8,Summer
The Haunting (1999),177311151,91411151,85900000,2881,PG-13,8.00E+07,July,1999,5.08,17994321.06,162128832.8,Summer
Eyes Wide Shut (1999),162091208,55691208,106400000,2483,R,6.50E+07,July,1999,5.08,10962836.22,98775154.35,Summer
American Pie (1999),NA,NA,0,NA,R,1.10E+07,July,1999,5.08,NA,NA,Summer
Wild Wild West (1999),222104681,113804681,108300000,3342,PG-13,1.70E+08,June,1999,5.08,22402496.26,201846491.3,Summer
Big Daddy (1999),234801895,163479795,71322100,3254,PG-13,34200000,June,1999,5.08,32181062.01,289951368.7,Summer
Tarzan (1999),448191819,171091819,277100000,3131,G,1.30E+08,June,1999,5.08,33679491.93,303452222.3,Summer
Austin Powers: The Spy Who Shagged Me (1999),312016858,206040086,105976772,3314,PG-13,3.30E+07,June,1999,5.08,40559072.05,365437239.1,Summer
Star Wars: Episode I,1027044677,474544677,552500000,3126,PG,1.15E+08,May,1999,5.08,93414306.5,841662901.5,Spring
The Mummy (1999),415933406,155385488,260547918,3411,PG-13,8.00E+07,May,1999,5.08,30587694.49,275595127.3,Spring
Entrapment (1999),212404396,87704396,124700000,2879,PG-13,6.60E+07,April,1999,5.08,17264644.88,155554450.4,Spring
The Matrix (1999),NA,NA,0,NA,R,6.30E+07,March,1999,5.08,NA,NA,Spring
Life (1999),73345029,63886029,9459000,2613,R,8.00E+07,April,1999,5.08,12575989.96,113309669.5,Spring
Forces of Nature (1999),93888180,52888180,4.10E+07,2335,PG-13,7.50E+07,March,1999,5.08,10411059.06,93803642.09,Spring
Analyze This (1999),176885658,106885658,7.00E+07,2537,R,8.00E+07,March,1999,5.08,21040483.86,189574759.6,Spring
8MM (1999),96618699,36663315,59955384,2370,R,4.00E+07,February,1999,5.08,7217187.992,65026863.81,Winter
Message in a Bottle (1999),118880016,52880016,6.60E+07,2545,PG-13,8.00E+07,February,1999,5.08,10409451.97,93789162.24,Winter
Payback (1999),161626121,81526121,80100000,2855,R,9.00E+07,February,1999,5.08,16048449.02,144596525.6,Winter
She's All That (1999),103166989,63366989,39800000,2654,PG-13,1.00E+07,January,1999,5.08,12473816.73,112389088.8,Winter
Varsity Blues (1999),54294169,52894169,1400000,2364,R,1.60E+07,January,1999,5.08,10412237.99,93814264.31,Winter
A Civil Action (1998),56709981,56709981,0,NA,PG-13,7.50E+07,December,1998,4.69,12091680.38,108946040.3,Winter
Cast Away (2000),429632142,233632142,1.96E+08,3061,PG-13,9.00E+07,December,2000,5.39,43345480.89,390542782.8,Winter
What Women Want (2000),374111707,182811707,191300000,3092,PG-13,7.00E+07,December,2000,5.39,33916828.76,305590627.1,Winter
How the Grinch Stole Christmas (2000),345141403,260044825,85096578,3256,PG,1.23E+08,November,2000,5.39,48245793.14,434694596.2,Fall
Charlie's Angels (2000),264105545,125305545,138800000,3037,PG-13,9.30E+07,November,2000,5.39,23247782,209462515.9,Fall
Meet the Parents (2000),330444045,166244045,164200000,2697,PG-13,5.50E+07,October,2000,5.39,30843051.02,277895889.7,Fall
Remember the Titans (2000),136706683,115654751,21051932,2803,PG,3.00E+07,September,2000,5.39,21457282.19,193330112.5,Fall
The Exorcist Director's Cut (2000),305288200,232906145,72382055,1708,R,1.10E+07,September,2000,5.39,43210787.57,389329196,Fall
The Watcher (2000),47267829,28946615,18321214,2777,R,3.00E+07,September,2000,5.39,5370429.499,48387569.79,Fall
Bring It On (2000),90449929,68379000,22070929,2466,PG-13,1.10E+07,August,2000,5.39,12686270.87,114303300.6,Summer
The Cell (2000),104155843,61334059,42821784,2476,R,3.30E+07,August,2000,5.39,11379231.73,102526877.8,Summer
Hollow Man (2000),190213455,73209340,117004115,2956,R,9.50E+07,August,2000,5.39,13582437.85,122377765,Summer
The Nutty Professor II: The Klumps (2000),166339890,123309890,43030000,3251,PG-13,8.40E+07,July,2000,5.39,22877530.61,206126550.8,Summer
What Lies Beneath (2000),291420351,155464351,135956000,2925,PG-13,1.00E+08,July,2000,5.39,28843107.79,259876401.2,Summer
X-Men (2000),296339527,157299717,139039810,3112,PG-13,7.50E+07,July,2000,5.39,29183620.96,262944424.9,Summer
Scary Movie (2000),278019771,157019771,1.21E+08,3301,R,1.90E+07,July,2000,5.39,29131682.93,262476463.2,Summer
The Perfect Storm (2000),328718434,182618434,146100000,3407,PG-13,1.40E+08,June,2000,5.39,33880971.06,305267549.2,Summer
"Me, Myself and Irene (2000)",149270999,90570999,58700000,3087,R,5.10E+07,June,2000,5.39,16803524.86,151399759,Summer
Shaft (2000),107196498,70334258,36862240,2433,R,4.60E+07,June,2000,5.39,13049027.46,117571737.4,Summer
Gone in 60 Seconds (2000),237202299,101648571,135553728,3089,PG-13,9.00E+07,June,2000,5.39,18858733.02,169917184.5,Summer
Mission: Impossible II (2000),546388105,215409889,330978216,3669,PG-13,1.25E+08,May,2000,5.39,39964728.94,360082207.8,Spring
Dinosaur (2000),349822765,137748063,212074702,3319,PG,127500000,May,2000,5.39,25556226.9,230261604.4,Spring
Gladiator (2000),460583960,187705427,272878533,3188,R,1.03E+08,May,2000,5.39,34824754.55,313771038.5,Spring
U-571 (2000),127666415,77122415,50544000,2820,PG-13,6.20E+07,April,2000,5.39,14308425.79,128918916.4,Spring
Rules of Engagement (2000),71732303,61335230,10397073,3220,R,6.00E+07,April,2000,5.39,11379448.98,102528835.3,Spring
Erin Brockovich (2000),256271286,125595205,130676081,3070,R,5.20E+07,March,2000,5.39,23301522.26,209946715.6,Spring
Mission to Mars (2000),110983407,60883407,50100000,3101,PG,1.00E+08,March,2000,5.39,11295622.82,101773561.6,Spring
The Whole Nine Yards (2000),106371651,57262492,49109159,2910,R,41300000,February,2000,5.39,10623838.96,95720789.04,Winter
Scream 3 (2000),161834276,89143175,72691101,3467,R,4.00E+07,February,2000,5.39,16538622.45,149012988.3,Winter
Eye of the Beholder (2000),17589705,16500786,1088919,1751,R,3.50E+07,January,2000,5.39,3061370.315,27582946.54,Winter
Next Friday (2000),59827328,57328603,2498725,1420,R,1.10E+07,January,2000,5.39,10636104.45,95831301.12,Winter
The Lord of the Rings: The Fellowship of the Ring (2001),NA,NA,0,NA,PG-13,9.30E+07,December,2001,5.66,NA,NA,Winter
Vanilla Sky (2001),203388341,100618344,102769997,2842,R,6.80E+07,December,2001,5.66,17777092.58,160171604.1,Winter
Ocean's Eleven (2001),450717150,183417150,267300000,3075,PG-13,8.50E+07,December,2001,5.66,32405856.89,291976770.6,Winter
Harry Potter and the Sorcerer's Stone (2001),NA,NA,0,NA,PG,1.25E+08,November,2001,5.66,NA,NA,Fall
"Monsters, Inc. (2001)",577425734,289916256,287509478,3649,G,1.15E+08,November,2001,5.66,51221953.36,461509799.7,Fall
K-PAX (2001),65001485,50338485,14663000,2581,PG-13,6.80E+07,October,2001,5.66,8893725.265,80132464.64,Fall
From Hell (2001),74558115,31602566,42955549,2334,R,3.50E+07,October,2001,5.66,5583492.226,50307264.96,Fall
Training Day (2001),104876233,76631907,28244326,2712,R,NA,October,2001,5.66,13539206.18,121988247.7,Fall
Don't Say a Word (2001),100020092,55001642,45018450,2842,R,5.00E+07,September,2001,5.66,9717604.594,87555617.39,Fall
Hardball (2001),44102389,40222729,3879660,2314,PG-13,3.20E+07,September,2001,5.66,7106489.223,64029467.9,Fall
The Musketeer (2001),34585771,27073640,7512131,2500,PG-13,4.00E+07,September,2001,5.66,4783328.622,43097790.88,Fall
Jeepers Creepers (2001),59217789,37904175,21313614,2944,R,1.00E+07,August,2001,5.66,6696850.707,60338624.87,Summer
American Pie 2 (2001),287553595,145103595,142450000,3157,R,3.00E+07,August,2001,5.66,25636677.56,230986464.8,Summer
Rush Hour 2 (2001),347325802,226164286,121161516,3118,PG-13,9.00E+07,August,2001,5.66,39958354.42,360024773.3,Summer
Planet of the Apes (2001) (2001),362211740,180011740,182200000,3530,PG-13,1.00E+08,July,2001,5.66,31804194.35,286555791.1,Summer
Jurassic Park III (2001),368780809,181171875,187608934,3462,PG-13,9.30E+07,July,2001,5.66,32009165.19,288402578.4,Summer
Legally Blonde (2001),141774679,96520674,45254005,2725,PG-13,1.80E+07,July,2001,5.66,17053122.61,153648634.8,Summer
Cats & Dogs (2001),200687492,93385515,107301977,3040,PG,6.00E+07,July,2001,5.66,16499207.6,148657860.5,Summer
A.I. Artificial Intelligence (2001),235926552,78616689,157309863,3242,PG-13,1.00E+08,June,2001,5.66,13889874.38,125147768.2,Summer
The Fast and the Furious (2001),207283925,144533925,62750000,2899,PG-13,3.80E+07,June,2001,5.66,25536029.15,230079622.7,Summer
Lara Croft: Tomb Raider (2001),274703340,131168070,143535270,3349,PG-13,1.15E+08,June,2001,5.66,23174570.67,208802881.7,Summer
Swordfish (2001),147080413,69772969,77307444,2688,R,1.02E+08,June,2001,5.66,12327379.68,111069690.9,Summer
Pearl Harbor (2001),449220945,198542554,250678391,3255,PG-13,1.40E+08,May,2001,5.66,35078189.75,316054489.7,Spring
Shrek (2001),NA,NA,0,NA,PG,6.00E+07,May,2001,5.66,NA,NA,Spring
The Mummy Returns (2001),433013274,202019785,230993489,3553,PG-13,9.80E+07,May,2001,5.66,35692541.52,321589799.1,Spring
Driven (2001),54744738,32720065,22024673,2905,PG-13,9.40E+07,April,2001,5.66,5780930.212,52086181.21,Spring
Bridget Jones's Diary (2001),281929795,71543427,210386368,2547,R,2.50E+07,April,2001,5.66,12640181.45,113888034.9,Spring
Spy Kids (2001),147934180,112719001,35215179,3191,PG,3.50E+07,March,2001,5.66,19915017.84,179434310.8,Spring
Heartbreakers (2001),57756408,40336607,17419801,2751,PG-13,3.50E+07,March,2001,5.66,7126609.011,64210747.19,Spring
Exit Wounds (2001),79958599,51758599,28200000,2830,R,5.00E+07,March,2001,5.66,9144628.799,82393105.48,Spring
The Mexican (2001),147845033,66845033,8.10E+07,3162,R,5.70E+07,March,2001,5.66,11810076.5,106408789.3,Spring
Hannibal (2001),351692268,165092268,186600000,3292,R,8.70E+07,February,2001,5.66,29168245.23,262805889.5,Winter
The Wedding Planner (2001),94728529,60400856,34327673,2785,PG-13,3.50E+07,January,2001,5.66,10671529.33,96150479.25,Winter
Save the Last Dance (2001),131706809,91057006,40649803,2570,PG-13,NA,January,2001,5.66,16087810.25,144951170.3,Winter
The Lord of the Rings: The Two Towers (2002),926047111,342551365,583495746,3622,PG-13,9.40E+07,December,2002,5.81,58958926.85,531219930.9,Winter
Die Another Day (2002),431971116,160942139,271028977,3377,PG-13,1.42E+08,November,2002,5.81,27700884.51,249584969.4,Fall
Harry Potter and the Chamber of Secrets (2002),879225135,262233983,616991152,3682,PG,1.00E+08,November,2002,5.81,45134936.83,406665780.9,Fall
8 Mile (2002),242875078,116750901,126124177,2585,R,4.10E+07,November,2002,5.81,20094819.45,181054323.2,Fall
The Santa Clause 2 (2002),172855065,139236327,33618738,3352,G,6.50E+07,November,2002,5.81,23964944.41,215924149.1,Fall
Jackass: The Movie (2002),79493831,64255312,15238519,2532,R,5.00E+06,October,2002,5.81,11059434.08,99645501.05,Fall
The Ring (2002),249348933,129128133,120220800,2927,PG-13,4.80E+07,October,2002,5.81,22225151.98,200248619.3,Fall
Red Dragon (2002),209196298,93149898,116046400,3363,R,7.80E+07,October,2002,5.81,16032684.68,144454489,Fall
Sweet Home Alabama (2002),180622424,127223418,53399006,3313,PG-13,3.00E+07,September,2002,5.81,21897318.07,197294835.8,Fall
Barbershop (2002),77063924,75782105,1281819,2176,PG-13,1.20E+07,September,2002,5.81,13043391.57,117520958,Fall
My Big Fat Greek Wedding (2002),368744044,241438208,127305836,NA,PG,5.00E+06,April,2002,5.81,41555629.6,374416222.7,Spring
Signs (2002),408247917,227966634,180281283,3453,PG-13,7.20E+07,August,2002,5.81,39236942.17,353524848.9,Summer
XXX (2002),277448382,142109382,135339000,3536,PG-13,7.00E+07,August,2002,5.81,24459446.13,220379609.6,Summer
Austin Powers in Goldmember (2002),296655431,213307889,83347542,3613,PG-13,6.30E+07,July,2002,5.81,36713922.38,330792440.6,Summer
Stuart Little 2 (2002),169956806,64956806,1.05E+08,3282,PG,1.20E+08,July,2002,5.81,11180173.15,100733360.1,Summer
Men in Black II (2002),441818803,190418803,251400000,3641,PG-13,1.40E+08,July,2002,5.81,32774320.65,295296629.1,Summer
Mr. Deeds (2002),171269535,126293452,44976083,3239,PG-13,5.00E+07,June,2002,5.81,21737255.08,195852668.2,Summer
Lilo & Stitch (2002),273144151,145794338,127349813,3222,PG,8.00E+07,June,2002,5.81,25093689.85,226094145.5,Summer
Scooby-Doo (2002),275650703,153294164,122356539,3447,PG,8.40E+07,June,2002,5.81,26384537.69,237724684.6,Summer
The Sum of All Fears (2002),193921372,118907036,75014336,3230,PG-13,6.80E+07,May,2002,5.81,20465927.02,184398002.5,Spring
Star Wars: Episode II,NA,NA,0,NA,PG,1.15E+08,May,2002,5.81,NA,NA,Spring
Spider-Man (2002),821708551,403706375,418002176,3876,PG-13,1.39E+08,May,2002,5.81,69484746.13,626057562.6,Spring
The Scorpion King (2002),165333180,91047077,74286103,3466,PG-13,6.00E+07,April,2002,5.81,15670753.36,141193487.7,Spring
Changing Lanes (2002),94935764,66818548,28117216,2642,R,4.50E+07,April,2002,5.81,11500610.67,103620502.1,Spring
Panic Room (2002),196397415,96397334,100000081,3119,R,4.80E+07,March,2002,5.81,16591623.75,149490530,Spring
Blade II (2002),155010032,82348319,72661713,2707,R,5.40E+07,March,2002,5.81,14173548.88,127703675.4,Spring
Ice Age (2002),383257136,176387405,206869731,3345,PG,5.90E+07,March,2002,5.81,30359277.97,273537094.5,Spring
The Time Machine (2002),123729176,56832494,66896682,2958,PG-13,8.00E+07,March,2002,5.81,9781840.62,88134383.98,Spring
We Were Soldiers (2002),114660784,78122718,36538066,3143,R,7.50E+07,March,2002,5.81,13446250.95,121150721,Spring
Queen of the Damned (2002),45479110,30336800,15142310,2511,R,3.50E+07,February,2002,5.81,5221480.207,47045536.66,Winter
John Q. (2002),102244770,71756802,30487968,2505,PG-13,3.60E+07,February,2002,5.81,12350568.33,111278620.7,Winter
Collateral Damage (2002),78382433,40077257,38305176,2824,R,8.50E+07,February,2002,5.81,6897978.83,62150789.25,Winter
Black Hawk Down (2001),172989651,108638745,64350906,NA,R,9.20E+07,December,2001,5.66,19194124.56,172939062.3,Winter
The Lord of the Rings: The Return of the King (2003),1119929521,377845905,742083616,3703,PG-13,9.40E+07,December,2003,6.03,62661012.44,564575722.1,Winter
The Last Samurai (2003),456758981,111127263,345631718,2938,R,1.40E+08,December,2003,6.03,18429065.17,166045877.2,Winter
The Haunted Mansion (2003),182290266,75847266,106443000,3122,PG,9.00E+07,November,2003,6.03,12578319.4,113330657.8,Fall
The Cat in the Hat (2003),133960541,101149285,32811256,3467,PG,1.09E+08,November,2003,6.03,16774342.45,151136825.5,Fall
Master and Commander: The Far Side of the World (2003),212011111,93927920,118083191,3101,PG-13,1.50E+08,November,2003,6.03,15576769.49,140346693.1,Fall
The Matrix Revolutions (2003),427343298,139313948,288029350,3502,R,1.50E+08,November,2003,6.03,23103473.96,208162300.4,Fall
Scary Movie 3 (2003),220673217,110003217,110670000,3505,PG-13,4.80E+07,October,2003,6.03,18242656.22,164366332.5,Fall
The Texas Chainsaw Massacre (2003),107071655,80571655,26500000,3018,R,9500000,October,2003,6.03,13361800.17,120389819.5,Fall
Kill Bill Vol. 1 (2003),180949045,70099045,110850000,3102,R,3.00E+07,October,2003,6.03,11625048.92,104741690.8,Fall
